city,countyOrParish,stateOrProvince,address,shortAddress
Castleton-on-Hudson,Rensselaer,NY,"39 Green Avenue, Castleton-on-Hudson, NY 12033",39 Green Avenue
Lake Luzerne,Warren,NY,"124 Chuckwagon Trail, Lake Luzerne, NY 12846",124 Chuckwagon Trail
Stillwater,Saratoga,NY,"20 Cavalry Course, Stillwater, NY 12118",20 Cavalry Course
Albany,Albany,NY,"721 State Street, Albany, NY 12203",721 State Street
Duanesburg,Schenectady,NY,"L22.11 Depot Road, Duanesburg, NY 12056",L22.11 Depot Road
Clifton Park,Saratoga,NY,"66 Via Da Vinci, Clifton Park, NY 12065",66 Via Da Vinci
Hadley,Saratoga,NY,"2345 N Shore Road, Hadley, NY 12835",2345 N Shore Road
Colonie,Albany,NY,"31 Tamarack Lane, Colonie, NY 12309",31 Tamarack Lane
New Scotland,Albany,NY,"29 Wolf Hill Road, New Scotland, NY 12186",29 Wolf Hill Road
Albany,Albany,NY,"34 Buchanan Street, Albany, NY 12206",34 Buchanan Street
Round Lake,Saratoga,NY,"37 Ordelia Lane, Round Lake, NY 12151",37 Ordelia Lane
Colonie,Albany,NY,"24 Kendra Court, Colonie, NY 12047",24 Kendra Court
Chatham,Columbia,NY,"9 Fairview Avenue, Chatham, NY 12037",9 Fairview Avenue
Colonie,Albany,NY,"27 Emery Avenue, Colonie, NY 12205",27 Emery Avenue
Troy,Rensselaer,NY,"30 Sheridan Avenue, Troy, NY 12180",30 Sheridan Avenue
Moreau,Saratoga,NY,"150 Fort Edward Road, Moreau, NY 12828",150 Fort Edward Road
Clifton Park,Saratoga,NY,"18 Scarlet Street, Clifton Park, NY 12065",18 Scarlet Street
Albany,Albany,NY,"251 Woodlawn Avenue, Albany, NY 12208",251 Woodlawn Avenue
Coxsackie,Greene,NY,"916 Sleepy Hollow Road, Coxsackie, NY 12015",916 Sleepy Hollow Road
Watervliet,Albany,NY,"2412 11th Avenue, Watervliet, NY 12189",2412 11th Avenue
Albany,Albany,NY,"97 Ten Broeck Street, 4, Albany, NY 12210","97 Ten Broeck Street, 4"
Ballston Spa,Saratoga,NY,"250 Thimbleberry Road, Ballston Spa, NY 12020",250 Thimbleberry Road
Albany,Albany,NY,"598-600 3rd Street, Albany, NY 12206",598-600 3rd Street
Johnstown,Fulton,NY,"7 Baker Street, Johnstown, NY 12095",7 Baker Street
Colonie,Albany,NY,"37 Elm Street, Colonie, NY 12189",37 Elm Street
Warrensburg,Warren,NY,"180 E Kelm Pond Road, Warrensburg, NY 12817",180 E Kelm Pond Road
Mechanicville,Saratoga,NY,"20 Green Street, Mechanicville, NY 12118",20 Green Street
Colonie,Albany,NY,"41 Craig Street, 2, Colonie, NY 12189","41 Craig Street, 2"
Halfmoon,Saratoga,NY,"53 Hendrik Hudson Way, Halfmoon, NY 12065",53 Hendrik Hudson Way
Sand Lake,Rensselaer,NY,"15 Bullis Drive, Sand Lake, NY 12018",15 Bullis Drive
Granville,Washington,NY,"1273 County Route 24, Granville, NY 12832",1273 County Route 24
Clifton Park,Saratoga,NY,"27 Carriage Road, Clifton Park, NY 12065",27 Carriage Road
Albany,Albany,NY,"54 Westerlo Street, # 22, Albany, NY 12202","54 Westerlo Street, # 22"
Cherry Valley,Otsego,NY,"7715 Us Highway 20, Cherry Valley, NY 13320",7715 Us Highway 20
"Saratoga Springs, Inside",Saratoga,NY,"111 Church Street, Saratoga Springs, Inside, NY 12866",111 Church Street
Schenectady,Schenectady,NY,"787 Pearse Road, Schenectady, NY 12309",787 Pearse Road
Colonie,Albany,NY,"14 Riviera Drive, Colonie, NY 12110",14 Riviera Drive
Colonie,Albany,NY,"31 Corning Street, Colonie, NY 12205",31 Corning Street
"Saratoga Springs, Outside",Saratoga,NY,"296 Middle Grove Road, 2, Saratoga Springs, Outside, NY 12866","296 Middle Grove Road, 2"
Cohoes,Albany,NY,"4 Hamilton Place, Cohoes, NY 12047",4 Hamilton Place
Clifton Park,Saratoga,NY,"10 Scarlet Street, Clifton Park, NY 12065",10 Scarlet Street
Wilton,Saratoga,NY,"16 Worth Road, Wilton, NY 12831",16 Worth Road
Stony Creek,Warren,NY,"164 Roaring Branch Road, Stony Creek, NY 12878",164 Roaring Branch Road
Albany,Albany,NY,"625 Clinton Avenue, Albany, NY 12206",625 Clinton Avenue
Chester,Warren,NY,"99 Riverside Drive, Chester, NY 12817",99 Riverside Drive
Schenectady,Schenectady,NY,"26 Laura Lane, Schenectady, NY 12304",26 Laura Lane
Lake George,Warren,NY,"3014 Lake Shore Drive, 19A, Lake George, NY 12845","3014 Lake Shore Drive, 19A"
Colonie,Albany,NY,"11 Delia Street, Colonie, NY 12211",11 Delia Street
Galway,Saratoga,NY,"2763 Galway Road, Galway, NY 12020",2763 Galway Road
Albany,Albany,NY,"529 Morris Street, Albany, NY 12208",529 Morris Street
North Greenbush,Rensselaer,NY,"237 Geiser Road, North Greenbush, NY 12198",237 Geiser Road
Rotterdam,Schenectady,NY,"1976 Curry Road, # F144, Rotterdam, NY 12303","1976 Curry Road, # F144"
Guilderland,Albany,NY,"96 Velina Drive, Guilderland, NY 12203",96 Velina Drive
Schenectady,Schenectady,NY,"930 Bradt Street, Schenectady, NY 12306",930 Bradt Street
Clifton Park,Saratoga,NY,"8 Tulip Terrace, Clifton Park, NY 12065",8 Tulip Terrace
Glens Falls,Warren,NY,"31 Fifth Street, Glens Falls, NY 12801",31 Fifth Street
Saratoga Springs,Saratoga,NY,"17 Oak Street, Saratoga Springs, NY 12866",17 Oak Street
Wilton,Saratoga,NY,"12 Traver Lane, Wilton, NY 12831",12 Traver Lane
Colonie,Albany,NY,"18 Fuller Place, Colonie, NY 12205",18 Fuller Place
Guilderland,Albany,NY,"14 Greystone Drive, Guilderland, NY 12186",14 Greystone Drive
Saratoga Springs,Saratoga,NY,"2 Magnolia Drive, Saratoga Springs, NY 12866",2 Magnolia Drive
Saratoga Springs,Saratoga,NY,"64 Rip Van Lane, Saratoga Springs, NY 12866",64 Rip Van Lane
Greenwich,Washington,NY,"25 North Road, Greenwich, NY 12834",25 North Road
Glenville,Schenectady,NY,"3 Sheldon Drive, Glenville, NY 12019",3 Sheldon Drive
Duanesburg,Schenectady,NY,"11711 Duanesburg Road, Duanesburg, NY 12053",11711 Duanesburg Road
Perth,Fulton,NY,"235 McQueen Road, Perth, NY 12010",235 McQueen Road
Colonie,Albany,NY,"7 Proctor Court, Colonie, NY 12211",7 Proctor Court
Hampton,Washington,NY,"L7.1 NY-22A, Hampton, NY 12837",L7.1 NY-22A
Northville,Fulton,NY,"788 S Main Street, Northville, NY 12134",788 S Main Street
Valatie,Columbia,NY,"3534 State Route 203, Valatie, NY 12184",3534 State Route 203
Colonie,Albany,NY,"19 Pinewood Place, Colonie, NY 12205",19 Pinewood Place
Queensbury,Warren,NY,"20 Beekman Place, Queensbury, NY 12804",20 Beekman Place
Esperance,Schoharie,NY,"115 Cumpston Street, Esperance, NY 12066",115 Cumpston Street
Albany,Albany,NY,"19 Bohl Avenue, Albany, NY 12209",19 Bohl Avenue
Schenectady,Schenectady,NY,"2330 Fairlee Street, Schenectady, NY 12306",2330 Fairlee Street
Colonie,Albany,NY,"1090 Troy-Schenectady Road, Colonie, NY 12110",1090 Troy-Schenectady Road
Colonie,Albany,NY,"63 Upper Loudon Road, Colonie, NY 12211",63 Upper Loudon Road
Niskayuna,Schenectady,NY,"1277 Pembroke Court, Niskayuna, NY 12309",1277 Pembroke Court
Scotia,Schenectady,NY,"3 Cartwheel Drive, Scotia, NY 12302",3 Cartwheel Drive
Colonie,Albany,NY,"53 Wardley Circle, Colonie, NY 12047",53 Wardley Circle
Troy,Rensselaer,NY,"198 Hill Street, Troy, NY 12180",198 Hill Street
Perth,Fulton,NY,"0 Noonan Road, Perth, NY 12070",0 Noonan Road
Clifton Park,Saratoga,NY,"14 Ashdown Road, Clifton Park, NY 12019",14 Ashdown Road
Rotterdam,Schenectady,NY,"88 Oakdale Avenue, Rotterdam, NY 12306",88 Oakdale Avenue
Halfmoon,Saratoga,NY,"15 Devoe Drive, Halfmoon, NY 12065",15 Devoe Drive
Queensbury,Warren,NY,"347 Luzerne Road, Queensbury, NY 12804",347 Luzerne Road
Ravena,Albany,NY,"30 S Clement Avenue, Ravena, NY 12143",30 S Clement Avenue
Granville,Washington,NY,"7397 State Route 149, Granville, NY 12832",7397 State Route 149
Saratoga Springs,Saratoga,NY,"2 N Milton Road, Saratoga Springs, NY 12866",2 N Milton Road
Albany,Albany,NY,"24 Besch Avenue, Albany, NY 12209",24 Besch Avenue
Bleecker,Fulton,NY,"107 Lake Road, Bleecker, NY 12078",107 Lake Road
Saratoga Springs,Saratoga,NY,"130 Excelsior Avenue, 414, Saratoga Springs, NY 12866","130 Excelsior Avenue, 414"
Waterford,Saratoga,NY,"47 Guideboard Road, Waterford, NY 12188",47 Guideboard Road
Guilderland,Albany,NY,"42 Coralberry Court, Guilderland, NY 12203",42 Coralberry Court
Champlain,Clinton,NY,"17 Oak Street, Champlain, NY 12919",17 Oak Street
Troy,Rensselaer,NY,"10 105th Street, Apt 2, Troy, NY 12180","10 105th Street, Apt 2"
Clifton Park,Saratoga,NY,"637 Waite Road, Clifton Park, NY 12065",637 Waite Road
Albany,Albany,NY,"239 Park Avenue, Albany, NY 12202",239 Park Avenue
Johnsburg,Warren,NY,"L91 Highview Lane, Lot 7, Johnsburg, NY 12886","L91 Highview Lane, Lot 7"
Perth,Fulton,NY,"1634 County Highway 107, Perth, NY 12010",1634 County Highway 107
Moreau,Saratoga,NY,"105 Mott Road, Moreau, NY 12831",105 Mott Road
Schaghticoke,Rensselaer,NY,"17 Avenue A, Schaghticoke, NY 12182",17 Avenue A
Brunswick,Rensselaer,NY,"8 Prout Avenue, Brunswick, NY 12180",8 Prout Avenue
Delanson,Schenectady,NY,"1749 Main Street, Delanson, NY 12053",1749 Main Street
Niskayuna,Schenectady,NY,"1125 Highland Park Road, Niskayuna, NY 12309",1125 Highland Park Road
Albany,Albany,NY,"9 St Joseph'S Terrace, 3B, Albany, NY 12210","9 St Joseph'S Terrace, 3B"
Colonie,Albany,NY,"12 Kendra Court, Colonie, NY 12047",12 Kendra Court
Ballston Spa,Saratoga,NY,"18 Frederick Lane, Ballston Spa, NY 12020",18 Frederick Lane
Rotterdam,Schenectady,NY,"115 Whispering Pines Way, Rotterdam, NY 12306",115 Whispering Pines Way
Bolton,Warren,NY,"6 Norowal Road, # 3, Bolton, NY 12814","6 Norowal Road, # 3"
Berne,Albany,NY,"664 Gifford Hollow Road, Berne, NY 12023",664 Gifford Hollow Road
Coeymans,Albany,NY,"23 Pulver Avenue, Coeymans, NY 12143",23 Pulver Avenue
Albany,Albany,NY,"260 Central Avenue, Albany, NY 12206",260 Central Avenue
Charleston,Montgomery,NY,"2164 State Highway 162, Charleston, NY 12066",2164 State Highway 162
Malta,Saratoga,NY,"57 Snowberry Road, Malta, NY 12020",57 Snowberry Road
Amsterdam,Montgomery,NY,"10 4th Street, Amsterdam, NY 12010",10 4th Street
Troy,Rensselaer,NY,"8 Jesse Court, Troy, NY 12180",8 Jesse Court
Troy,Rensselaer,NY,"822 River Street, 3, Troy, NY 12180","822 River Street, 3"
Schenectady,Schenectady,NY,"426 Anthony Street, Schenectady, NY 12308",426 Anthony Street
Milton,Saratoga,NY,"255 W Milton Road, Milton, NY 12020",255 W Milton Road
Milton,Saratoga,NY,"37 Coachman Drive, Milton, NY 12020",37 Coachman Drive
Amsterdam,Montgomery,NY,"223 Clizbe Avenue, Amsterdam, NY 12010",223 Clizbe Avenue
Saratoga Springs,Saratoga,NY,"15 Ellis Avenue, 8, Saratoga Springs, NY 12866","15 Ellis Avenue, 8"
Providence,Saratoga,NY,"7146 Lafayette Road, Providence, NY 12850",7146 Lafayette Road
Colonie,Albany,NY,"26 Joy Drive, Colonie, NY 12211",26 Joy Drive
Albany,Albany,NY,"862 3rd Street, Albany, NY 12206",862 3rd Street
Niskayuna,Schenectady,NY,"1524 Baker Avenue, Niskayuna, NY 12309",1524 Baker Avenue
Warrensburg,Warren,NY,"2068 Harrington Hill Road, Warrensburg, NY 12845",2068 Harrington Hill Road
Amsterdam,Montgomery,NY,"217 Division Street, Amsterdam, NY 12010",217 Division Street
Albany,Albany,NY,"266-268 Yates Street, Albany, NY 12208",266-268 Yates Street
Saratoga Springs,Saratoga,NY,"27 Julians Way, Saratoga Springs, NY 12866",27 Julians Way
Corinth,Saratoga,NY,"16 Pine Street, Corinth, NY 12822",16 Pine Street
Cohoes,Albany,NY,"290 Saratoga Street, #3 #3, Cohoes, NY 12047","290 Saratoga Street, #3 #3"
Green Island,Albany,NY,"64 West Street, Green Island, NY 12183",64 West Street
Albany,Albany,NY,"50 Ontario Street, Unit 2, Albany, NY 12206","50 Ontario Street, Unit 2"
Stillwater,Saratoga,NY,"14 Kellogg Road, Stillwater, NY 12170",14 Kellogg Road
East Greenbush,Rensselaer,NY,"254 Hudson Ave East, East Greenbush, NY 12144",254 Hudson Ave East
Troy,Rensselaer,NY,"55 Pointview Drive, Troy, NY 12180",55 Pointview Drive
Watervliet,Albany,NY,"2335 4th Avenue, Watervliet, NY 12189",2335 4th Avenue
Troy,Rensselaer,NY,"9 Brookview Lane, Troy, NY 12180",9 Brookview Lane
Milton,Saratoga,NY,"3555 Galway Road, Milton, NY 12020",3555 Galway Road
East Greenbush,Rensselaer,NY,"15 Stirrup Drive, East Greenbush, NY 12061",15 Stirrup Drive
Brunswick,Rensselaer,NY,"31 Mellon Avenue, Brunswick, NY 12180",31 Mellon Avenue
Pittstown,Rensselaer,NY,"911 Johnsonville Road, Pittstown, NY 12094",911 Johnsonville Road
East Greenbush,Rensselaer,NY,"21 Malibu Hill, East Greenbush, NY 12144",21 Malibu Hill
Albany,Albany,NY,"657 Morris Street, Albany, NY 12208",657 Morris Street
Saratoga Springs,Saratoga,NY,"7 Hathorn Blvd Boulevard, Saratoga Springs, NY 12866",7 Hathorn Blvd Boulevard
Malta,Saratoga,NY,"52 Wake Robin Road, Malta, NY 12020",52 Wake Robin Road
Troy,Rensselaer,NY,"1027 Madison Avenue, Troy, NY 12180",1027 Madison Avenue
Root,Montgomery,NY,"329 Anderson Road, Root, NY 12166",329 Anderson Road
Philmont,Columbia,NY,"41 Prospect Street, Philmont, NY 12565",41 Prospect Street
Warrensburg,Warren,NY,"11 Sunset Avenue, Warrensburg, NY 12885",11 Sunset Avenue
Glens Falls,Warren,NY,"111 Lawrence Street, Glens Falls, NY 12801",111 Lawrence Street
Greenport,Columbia,NY,"277 Anthony Avenue, Greenport, NY 12534",277 Anthony Avenue
Colonie,Albany,NY,"46 Linton Avenue, Colonie, NY 12205",46 Linton Avenue
Wilton,Saratoga,NY,"39 Berkeley Way, Wilton, NY 12866",39 Berkeley Way
Pittstown,Rensselaer,NY,"57 Lake Shore Drive, Pittstown, NY 12180",57 Lake Shore Drive
Greenfield,Saratoga,NY,"54 Greene Road, Greenfield, NY 12833",54 Greene Road
Schenectady,Schenectady,NY,"2329-2331 Broadway, Schenectady, NY 12306",2329-2331 Broadway
Schenectady,Schenectady,NY,"78 Dewitt Avenue, Schenectady, NY 12304",78 Dewitt Avenue
Glenville,Schenectady,NY,"6 Dawn Drive, Glenville, NY 12302",6 Dawn Drive
Scotia,Schenectady,NY,"159 N Toll Street, Scotia, NY 12302",159 N Toll Street
Milton,Saratoga,NY,"35 Ichabod Lane, Milton, NY 12020",35 Ichabod Lane
Schenectady,Schenectady,NY,"939 Dean Street, 941, Schenectady, NY 12309","939 Dean Street, 941"
Wilton,Saratoga,NY,"2 Avalon Way, Wilton, NY 12866",2 Avalon Way
Jackson,Washington,NY,"114 Plains Road, Jackson, NY 12816",114 Plains Road
Voorheesville,Albany,NY,"46 Cranbury Court, Voorheesville, NY 12186",46 Cranbury Court
Colonie,Albany,NY,"30 Hoffman Drive, Colonie, NY 12110",30 Hoffman Drive
Westerlo,Albany,NY,"505 County Route 1, Westerlo, NY 12193",505 County Route 1
Colonie,Albany,NY,"15 Huntleigh Drive, Colonie, NY 12211",15 Huntleigh Drive
Brunswick,Rensselaer,NY,"402 Brunswick Meadows Way, Brunswick, NY 12182",402 Brunswick Meadows Way
Guilderland,Albany,NY,"424 Pinkster Lane, Guilderland, NY 12159",424 Pinkster Lane
Hebron,Washington,NY,"225 Bromley Lane, Hebron, NY 12832",225 Bromley Lane
Ballston Spa,Saratoga,NY,"50 Pepper Bush Place, Ballston Spa, NY 12020",50 Pepper Bush Place
Troy,Rensselaer,NY,"902 3rd Avenue, 1, Troy, NY 12182","902 3rd Avenue, 1"
Saratoga Springs,Saratoga,NY,"21 St Charles Place, Saratoga Springs, NY 12866",21 St Charles Place
North Greenbush,Rensselaer,NY,"285 Whiteview Road, North Greenbush, NY 12198",285 Whiteview Road
Granville,Washington,NY,"3 Potter Avenue, Granville, NY 12832",3 Potter Avenue
Mechanicville,Saratoga,NY,"47 Round Lake Avenue, Mechanicville, NY 12118",47 Round Lake Avenue
Whitehall,Washington,NY,"68 Blue Goose Road, Whitehall, NY 12887",68 Blue Goose Road
Saratoga Springs,Saratoga,NY,"113 Jones Road, Saratoga Springs, NY 12866",113 Jones Road
Westerlo,Albany,NY,"869 State Route 143, Westerlo, NY 12193",869 State Route 143
Halfmoon,Saratoga,NY,"9 Timberwick Drive, Halfmoon, NY 12065",9 Timberwick Drive
Malta,Saratoga,NY,"2 Theresa Terrace, Malta, NY 12020",2 Theresa Terrace
Troy,Rensselaer,NY,"117 Jefferson Street, Troy, NY 12180",117 Jefferson Street
Halfmoon,Saratoga,NY,"243 Brookwood Road, Halfmoon, NY 12188",243 Brookwood Road
Rotterdam,Schenectady,NY,"1136 Barber Drive, Rotterdam, NY 12303",1136 Barber Drive
Kinderhook,Columbia,NY,"10 James Lane, Kinderhook, NY 12106",10 James Lane
Bethlehem,Albany,NY,"21 Regina Court, 2, Bethlehem, NY 12054","21 Regina Court, 2"
Wilton,Saratoga,NY,"5 Heritage Way, 103, Wilton, NY 12831","5 Heritage Way, 103"
Albany,Albany,NY,"17 Kensington Place, Albany, NY 12209",17 Kensington Place
Greenfield,Saratoga,NY,"409 N Creek Road, Greenfield, NY 12833",409 N Creek Road
Guilderland,Albany,NY,"209 Samuel Court, Guilderland, NY 12306",209 Samuel Court
Horicon,Warren,NY,"11 Chestnut Drive, Horicon, NY 12815",11 Chestnut Drive
Amsterdam,Montgomery,NY,"14 Pine Street, Amsterdam, NY 12010",14 Pine Street
Edinburg,Saratoga,NY,"22 Heather Lane, Edinburg, NY 12134",22 Heather Lane
Amsterdam,Montgomery,NY,"62 Glen Avenue, Amsterdam, NY 12010",62 Glen Avenue
Schenectady,Schenectady,NY,"467 Arthur Street, Schenectady, NY 12306",467 Arthur Street
Schodack,Rensselaer,NY,"20 Orchard Road, Schodack, NY 12033",20 Orchard Road
Glens Falls,Warren,NY,"20-22 Baldwin Ave, Glens Falls, NY 12801",20-22 Baldwin Ave
Clifton Park,Saratoga,NY,"20 Tekakwitha Court, Clifton Park, NY 12065",20 Tekakwitha Court
Glenville,Schenectady,NY,"144 West Glenville Road, Glenville, NY 12302",144 West Glenville Road
Clifton Park,Saratoga,NY,"752 Waite Road, Clifton Park, NY 12065",752 Waite Road
Lake Luzerne,Warren,NY,"72 Davern Drive, Lake Luzerne, NY 12846",72 Davern Drive
Hudson Falls,Washington,NY,"12 Delaware Avenue, Hudson Falls, NY 12839",12 Delaware Avenue
Albany,Albany,NY,"75 Cardinal Avenue, Albany, NY 12208",75 Cardinal Avenue
Corinth,Saratoga,NY,"69 Gabriel Road, Corinth, NY 12822",69 Gabriel Road
Colonie,Albany,NY,"6 Marlyn Drive, D, Colonie, NY 12110","6 Marlyn Drive, D"
Troy,Rensselaer,NY,"26 Lincoln Avenue, Troy, NY 12180",26 Lincoln Avenue
Charleston,Montgomery,NY,"239 Begley Road, Charleston, NY 12066",239 Begley Road
Sharon,Schoharie,NY,"806 Slate Hill Road, Sharon, NY 13459",806 Slate Hill Road
Moreau,Saratoga,NY,"35 Feeder Dam Road, Moreau, NY 12803",35 Feeder Dam Road
North Greenbush,Rensselaer,NY,"265 N Greenbush Road, North Greenbush, NY 12180",265 N Greenbush Road
Corinth,Saratoga,NY,"77 Stark Road, Corinth, NY 12822",77 Stark Road
"Saratoga Springs, Inside",Saratoga,NY,"58 Ash Street, Saratoga Springs, Inside, NY 12866",58 Ash Street
Schenectady,Schenectady,NY,"1025 Altamont Avenue, Schenectady, NY 12303",1025 Altamont Avenue
Amsterdam,Montgomery,NY,"55 Sloane Avenue, Amsterdam, NY 12010",55 Sloane Avenue
Greenfield,Saratoga,NY,"130 Brigham Road, Greenfield, NY 12833",130 Brigham Road
Halfmoon,Saratoga,NY,"7 Marcel Road, Halfmoon, NY 12065",7 Marcel Road
East Greenbush,Rensselaer,NY,"11 Rose Lane, East Greenbush, NY 12144",11 Rose Lane
Middleburgh,Schoharie,NY,"206 Decker Road, Middleburgh, NY 12122",206 Decker Road
Rotterdam,Schenectady,NY,"84 Annabelle Place, Rotterdam, NY 12306",84 Annabelle Place
Wright,Schoharie,NY,"249 Pickett Hill Road, Wright, NY 12157",249 Pickett Hill Road
Clifton Park,Saratoga,NY,"25 Teakwood Drive, Clifton Park, NY 12065",25 Teakwood Drive
Niskayuna,Schenectady,NY,"2499 Rosendale Road, Niskayuna, NY 12309",2499 Rosendale Road
"Saratoga Springs, Inside",Saratoga,NY,"55 Phila Street, 202, Saratoga Springs, Inside, NY 12866","55 Phila Street, 202"
Hudson Falls,Washington,NY,"36 Pearl Street, Hudson Falls, NY 12839",36 Pearl Street
Halfmoon,Saratoga,NY,"9 Highview Way, Halfmoon, NY 12118",9 Highview Way
Bethlehem,Albany,NY,"27 Chapel Lane, Bethlehem, NY 12077",27 Chapel Lane
Schaghticoke,Rensselaer,NY,"9 Bickford Lane, Schaghticoke, NY 12182",9 Bickford Lane
Queensbury,Warren,NY,"31 Hudson View Lane, Queensbury, NY 12804",31 Hudson View Lane
Kingsbury,Washington,NY,"1779 State Route 196, Kingsbury, NY 12839",1779 State Route 196
Green Island,Albany,NY,"20 Lafayette Park, Green Island, NY 12183",20 Lafayette Park
Schenectady,Schenectady,NY,"1437 Nott Street, Schenectady, NY 12308",1437 Nott Street
Grafton,Rensselaer,NY,"L2.3 Crandall Road, Grafton, NY 12138",L2.3 Crandall Road
